# **Notice:** The Jas encoder bank along with the `compiler.js` script
# is a part of the Jas assembler project, licensed under the MIT license.
# Please consult the `LICENSE` file for more information.

# Contributors' list: (Add your own name here, if applicable)
# Copyright (c) 2023-2024 Alvin Cheng <eventide1029@gmail.com>

# This is the Jas assembler instruction encoder bank, this file contains
# the encoder tables for encoding the instructions into machine code, with
# each one handcrafted and reviewed by actual humans, not a dumb script that
# runs through the Intel Manual. 

# This is basically, (when boiled down) a successor to the `tabs.c` file as a 
# representation of structs by allowing a script to write boilerplate for us.
# All columns are matching the values of the `instr_encode_table` struct, see
# `instruction.h` for more information. (Data sizes and omitted fields are auto-
# matically computed by the compiler script)

# NOTE: All tables should be in order of the `instructions` enumeration.

# name | identity | opcode extension | opcode            | byte opcode       | pre 
# -----------------------------------------------------------------------------------------------
  mov  | mr       | -                | 0x89              | 0x88              | -
  cmovl   | rm       | -                | 0x0F, 0x4C        | -                 | -
  cmovle  | rm       | -                | 0x0F, 0x4E        | -                 | -
  cmovna  | rm       | -                | 0x0F, 0x46        | -                 | -
  cmovnae | rm       | -                | 0x0F, 0x42        | -                 | -
  cmovnb  | rm       | -                | 0x0F, 0x43        | -                 | -
  cmovnbe | rm       | -                | 0x0F, 0x47        | -                 | -
  cmovne  | rm       | -                | 0x0F, 0x45        | -                 | -
  cmovng  | rm       | -                | 0x0F, 0x4E        | -                 | -
  cmovnge | rm       | -                | 0x0F, 0x4C        | -                 | -
  cmovnl  | rm       | -                | 0x0F, 0x4D        | -                 | -
  cmovnle | rm       | -                | 0x0F, 0x4F        | -                 | -
  cmovno  | rm       | -                | 0x0F, 0x41        | -                 | -
  cmovnp  | rm       | -                | 0x0F, 0x4B        | -                 | -
  cmovns  | rm       | -                | 0x0F, 0x49        | -                 | -
  cmovnz  | rm       | -                | 0x0F, 0x45        | -                 | -
  cmovo   | rm       | -                | 0x0F, 0x40        | -                 | -
  cmovp   | rm       | -                | 0x0F, 0x4A        | -                 | -
  cmovpe  | rm       | -                | 0x0F, 0x4A        | -                 | -
  cmovpo  | rm       | -                | 0x0F, 0x4B        | -                 | -
  cmovs   | rm       | -                | 0x0F, 0x48        | -                 | -
  cmovz   | rm       | -                | 0x0F, 0x44        | -                 | -
